Origin,Destination,Weight (m3)
6,25,24297860.09
8,25,72134.54445
9,25,1490647941
12,25,20784913.01
13,25,4342.042911
17,25,20815131.8
18,25,8111183.239
23,25,466680708.5
25,25,3348940085
26,25,5568833.941
27,25,426803.3739
29,25,488022.7042
32,25,15938923.86
33,25,216145251.4
34,25,9503404.552
35,25,1162105.015
36,25,91540517.93
37,25,4037897.924
39,25,6988052.218
42,25,73056958.05
44,25,389978407
45,25,4024792.392
48,25,48272779.39
50,25,29187859.8
53,25,4685179.044
55,25,53577016.35
1,26,33964102.96
4,26,65078163.45
5,26,3092316.242
6,26,73345041.45
8,26,10640571.76
10,26,104251573.6
12,26,257310396.4
13,26,88219886.04
17,26,220579587
18,26,781846980.5
19,26,23627460.73
20,26,27324158.01
21,26,29214197.16
22,26,258484779.3
24,26,8447036.588
25,26,5839664.145
26,26,13462360399
27,26,87025742.22
29,26,7238186.297
30,26,10454124.48
32,26,595661.3443
34,26,34480880.16
35,26,24405712.45
36,26,68022790.84
37,26,2460553482
39,26,3814263533
40,26,1243044.152
42,26,163206441.4
45,26,85323315.89
47,26,7107548.051
48,26,410018665.4
51,26,1930665621
54,26,2516355.391
55,26,47683560.14
1,27,180718583.1
4,27,72722556.48
5,27,10185521.56
6,27,3611614300
8,27,30696803.04
9,27,2729163.27
12,27,258565125
13,27,182785205.5
16,27,1253195999
17,27,956022326.8
18,27,260897280.3
19,27,3918662586
20,27,1859004594
21,27,32755691.3
22,27,12968826307
23,27,14917270.99
25,27,11693165.24
26,27,22674108.34
27,27,70904194561
28,27,7822477.438
29,27,375199830.7
30,27,847601.6201
31,27,30150086.99
32,27,56784896.43
34,27,116816453.4
35,27,990555.2547
36,27,291136424.4
37,27,57155896.24
38,27,8652163191
39,27,2320594678
41,27,637947371.4
42,27,524066185.8
44,27,28698547.14
46,27,309012580.9
47,27,187263323.3
48,27,1590921728
49,27,5190033.885
51,27,261164322.6
53,27,20193780395
55,27,679616128.5
1,28,267804322.4
5,28,289568.9417
6,28,97708377.69
9,28,477807.0372
12,28,35478028.39
13,28,2423845857
18,28,2684706.646
19,28,19803.35314
21,28,734809.9916
22,28,993351047.9
25,28,17832466.37
26,28,455940.3819
27,28,85581.2
28,28,4161088685
29,28,19550.94833
31,28,6480.164501
34,28,455875.0258
36,28,26245.36859
37,28,1073622417
39,28,19906546.19
40,28,1974914.747
41,28,35718806.46
42,28,13121.20565
45,28,429534050.1
47,28,245797279.4
48,28,6362376.477
51,28,145053297.6
53,28,1064321.588
4,29,4895097686
5,29,830669876.9
6,29,8442268455
12,29,128248.439
13,29,1113519586
17,29,4743566723
18,29,15485787.1
19,29,58638796.08
20,29,404062626.6
21,29,923097.0044
22,29,12693840546
24,29,8433144.491
25,29,5707450.997
26,29,430790.5776
27,29,93948980.73
28,29,2265563441
29,29,46908317087
31,29,37797367.62
37,29,28351999.47
39,29,7325055.307
40,29,162412440.8
42,29,68744904.96
47,29,72193599.49
48,29,17582884062
51,29,1016200712
55,29,375125.9902
6,30,293031287
16,30,4632010.013
24,30,748589238.7
26,30,14136845.25
